Player;Team;Position;16/17 Cap Hit;17/18 Cap Hit;16/17 Salary;17/18 Salary;18/19 Salary;19/20 Salary;20/21 Salary
Fowler, Cam;ANA;Defence;4.000;4.000;4.000;4.000;UFA;;
Henrique, Adam;NJD;Center;4.000;4.000;4.500;5.000;5.500;UFA;
Muzzin, Jake;LAK;Defence;4.000;4.000;4.000;4.100;4.450;4.450;UFA
Scandella, Marco;MIN;Defence;4.000;4.000;3.750;4.000;4.500;4.750;UFA
Martinez, Alec;LAK;Defence;4.000;4.000;3.900;4.000;4.050;4.150;4.000
Michalek, Milan;TOR;Left;4.000;0.000;4.000;UFA;;;
Mrazek, Petr;DET;Goaltender;4.000;4.000;3.850;4.150;RFA;;
Josi, Roman;NAS;Defence;4.000;4.000;4.250;5.000;5.250;4.000;UFA
Stone, Michael;ARI;Defence;4.000;0.000;4.000;UFA;;;
Jokinen, Jussi;FLA;Left;4.000;4.000;4.000;4.000;UFA;;
Hemsky, Ales;DAL;Right;4.000;0.000;4.000;UFA;;;
Bickell, Bryan;CAR;Left;4.000;0.000;4.500;UFA;;;
Johansen, Ryan;NAS;Center;4.000;0.000;6.000;RFA;;;
Michalek, Milan;TOR;Left;4.000;0.000;4.000;UFA;;;
Boedker, Mikkel;SJS;Right;4.000;4.000;5.200;4.800;3.000;3.000;UFA
Simmonds, Wayne;PHI;Right;3.975;3.975;4.300;4.750;5.000;UFA;
Carlson, John;WAS;Defence;3.967;3.967;4.000;4.000;UFA;;
Franzen, Johan;DET;Center;3.955;3.955;3.500;2.000;1.000;1.000;UFA
Wilson, Colin;NAS;Center;3.938;3.938;4.000;4.000;4.000;UFA;
Gorges, Josh;BUF;Defence;3.900;3.900;3.900;3.900;UFA;;
Pavelec, Ondrej;WPG;Goaltender;3.900;0.000;4.750;UFA;;;
Shaw, Andrew;MTL;Center;3.900;3.900;5.500;5.000;4.000;3.250;2.750
Pavelec, Ondrej;WPG;Goaltender;3.900;0.000;4.750;UFA;;;
Del Zotto, Michael;PHI;Defence;3.875;0.000;4.000;UFA;;;
Hamonic, Travis;NYI;Defence;3.857;3.857;4.875;4.875;4.875;4.875;UFA
Helm, Darren;DET;Center;3.850;3.850;5.000;4.500;3.750;3.000;3.000
Kunitz, Chris;PIT;Left;3.850;0.000;3.550;UFA;;;
Eakin, Cody;DAL;Center;3.850;3.850;3.850;3.850;3.850;3.850;UFA
Murphy, Connor;ARI;Defence;3.850;3.850;2.400;4.600;4.500;4.400;3.200
Rakell, Rickard;ANA;Right;3.800;3.800;3.800;3.800;3.800;3.800;3.800
Beleskey, Matt;BOS;Left;3.800;3.800;4.000;4.000;4.000;3.000;UFA
Braun, Justin;SJS;Defence;3.800;3.800;3.800;3.800;3.800;3.800;UFA
Ekblad, Aaron;FLA;Defence;3.775;7.500;0.925;9.000;7.000;9.000;6.000
Matthews, Auston;TOR;Center;3.775;3.775;0.925;0.925;0.925;RFA;
Eichel, Jack;BUF;Center;3.775;3.775;0.925;0.925;RFA;;
McDavid, Connor;EDM;Center;3.775;3.775;0.925;0.925;RFA;;
Vesey, Jimmy;NYR;Left;3.775;3.775;0.925;0.925;RFA;;
Hamhuis, Dan;DAL;Defence;3.750;3.750;4.500;3.000;UFA;;
Dupuis, Pascal;PIT;Left;3.750;0.000;3.000;UFA;;;
Gallagher, Brendan;MTL;Right;3.750;3.750;4.500;2.750;3.000;4.000;2.750
Ekholm, Mattias;NAS;Defence;3.750;3.750;3.000;3.500;4.000;4.000;3.000
Silfverberg, Jakob;ANA;Right;3.750;3.750;3.750;3.750;3.750;UFA;
Oduya, Johnny;DAL;Defence;3.750;0.000;3.750;UFA;;;
Lee, Anders;NYI;Center;3.750;3.750;3.500;4.500;5.000;UFA;
Perron, David;STL;Left;3.750;3.750;3.750;3.750;UFA;;
Berglund, Patrik;STL;Center;3.700;3.850;3.700;4.700;4.700;4.500;2.900
Coburn, Braydon;TBL;Defence;3.700;3.700;3.700;3.700;3.700;UFA;
Despres, Simon;ANA;Defence;3.700;3.700;2.600;3.100;4.700;4.700;3.400
Fayne, Mark;EDM;Defence;3.625;3.625;3.500;3.500;UFA;;
Read, Matt;PHI;Right;3.625;3.625;4.000;3.500;UFA;;
Fayne, Mark;EDM;Defence;3.625;3.625;3.500;3.500;UFA;;
Stuart, Brad;COL;Defence;3.600;0.000;3.600;;;;
Sbisa, Luca;VAN;Defence;3.600;3.600;3.600;4.000;UFA;;
Backlund, Mikael;CGY;Center;3.575;3.575;3.575;3.575;UFA;;
Laine, Patrik;WPG;Right;3.575;3.575;0.925;0.925;0.925;RFA;
Reinhart, Sam;BUF;Center;3.544;3.544;0.925;0.833;RFA;;
Ribeiro, Mike;NAS;Center;3.500;0.000;3.500;UFA;;;
Eller, Lars;WAS;Center;3.500;3.500;4.250;4.750;UFA;;
Desharnais, David;MTL;Center;3.500;0.000;3.500;UFA;;;
Stone, Mark;OTT;Right;3.500;3.500;3.750;4.500;RFA;;
Gudbranson, Erik;VAN;Defence;3.500;0.000;3.500;RFA;;;
Atkinson, Cam;CLB;Right;3.500;3.500;3.500;4.500;UFA;;
Turris, Kyle;OTT;Center;3.500;3.500;4.000;4.000;UFA;;
Smid, Ladislav;CGY;Defence;3.500;0.000;4.000;UFA;;;
Wisniewski, James;CAR;Defence;3.500;3.500;3.500;1.000;;;
Ribeiro, Mike;NAS;Center;3.500;0.000;3.500;UFA;;;
Panarin, Artemi;CHI;Left;3.500;6.000;0.925;6.000;6.000;UFA;
Staal, Eric;MIN;Center;3.500;3.500;3.500;3.500;3.500;UFA;
Smith, Reilly;FLA;Right;3.425;5.000;3.500;6.000;6.000;5.000;3.500
Dubois, Pierre-Luc;CLB;Center;3.425;3.425;0.925;0.925;0.925;RFA;
Puljujarvi, Jesse;EDM;Right;3.425;3.425;0.925;0.925;0.925;RFA;
Draisaitl, Leon;EDM;Center;3.400;0.000;0.925;RFA;;;
Reimer, James;FLA;Goaltender;3.400;3.400;4.500;3.200;3.100;3.100;3.100
Strome, Dylan;ARI;Center;3.369;3.369;0.925;0.925;0.833;RFA;
Cizikas, Casey;NYI;Center;3.350;3.350;2.500;3.000;3.500;3.750;4.000
Gudas, Radko;PHI;Defence;3.350;3.350;4.000;3.500;3.400;2.500;UFA
Johnson, Tyler;TBL;Center;3.333;0.000;4.000;RFA;;;
Palat, Ondrej;TBL;Left;3.333;0.000;4.000;RFA;;;
McGinn, Jamie;ARI;Left;3.333;3.333;3.000;3.500;3.500;UFA;
Franson, Cody;BUF;Defence;3.325;0.000;3.325;UFA;;;
Ward, Cam;CAR;Goaltender;3.300;3.300;3.500;3.100;UFA;;
Bailey, Josh;NYI;Center;3.300;3.300;3.700;4.000;UFA;;
Daley, Trevor;PIT;Defence;3.300;0.000;2.700;UFA;;;
Ward, Joel;SJS;Right;3.275;3.275;3.275;3.275;UFA;;
Dillon, Brenden;SJS;Defence;3.270;3.270;2.750;3.400;3.900;3.900;UFA
Ference, Andrew;EDM;Defence;3.250;0.000;3.250;UFA;;;
Vrbata, Radim;ARI;Right;3.250;0.000;1.000;UFA;;;
Huberdeau, Jonathan;FLA;Center;3.250;5.900;4.000;6.200;6.200;6.200;5.300
Stoner, Clayton;ANA;Defence;3.250;3.250;3.250;3.250;UFA;;
Williams, Justin;WAS;Right;3.250;0.000;3.250;UFA;;;
Toffoli, Tyler;LAK;Center;3.250;0.000;3.900;RFA;;;
Reinhart, Griffin;EDM;Defence;3.213;0.000;0.833;RFA;;;
Coyle, Charlie;MIN;Center;3.200;3.200;2.600;3.500;3.750;4.250;UFA
Michalek, Zbynek;ARI;Defence;3.200;0.000;3.200;UFA;;;
Michalek, Zbynek;ARI;Defence;3.200;0.000;3.200;UFA;;;
Drouin, Jonathan;TBL;Left;3.194;0.000;0.833;RFA;;;
Bennett, Sam;CGY;Center;3.194;3.194;0.925;0.833;RFA;;
Stajan, Matt;CGY;Center;3.125;3.125;3.000;2.500;UFA;;
Hanzal, Martin;ARI;Center;3.100;0.000;3.500;UFA;;;
Russell, Kris;EDM;Defence;3.100;0.000;3.100;UFA;;;
Kruger, Marcus;CHI;Center;3.083;3.083;3.475;3.475;2.300;UFA;
15/16 Cap Overage;CHI;Left;3.070;0.000;3.070;;;;
Dal Colle, Michael;NYI;Left;3.063;3.063;0.925;0.833;0.833;RFA;
Hertl, Tomas;SJS;Center;3.000;3.000;2.800;3.200;RFA;;
Cogliano, Andrew;ANA;Center;3.000;3.000;3.100;3.300;UFA;;
Perreault, Mathieu;WPG;Center;3.000;4.125;3.000;4.500;4.000;4.000;4.000
Granlund, Mikael;MIN;Center;3.000;0.000;3.200;RFA;;;
Jones, Martin;SJS;Goaltender;3.000;3.000;3.000;3.000;UFA;;
Trouba, Jacob;WPG;Defence;3.000;3.000;2.500;3.500;RFA;;
Robidas, Stephane;TOR;Defence;3.000;0.000;2.000;UFA;;;
Kuznetsov, Evgeny;WAS;Center;3.000;0.000;3.400;RFA;;;
Komarov, Leo;TOR;Center;2.950;2.950;2.950;2.950;UFA;;
Demko, Thatcher;VAN;Goaltender;2.942;2.942;0.925;0.925;0.925;RFA;
Engelland, Deryk;CGY;Defence;2.917;0.000;2.750;UFA;;;
Gunnarsson, Carl;STL;Defence;2.900;2.900;2.900;2.900;2.900;UFA;
Jenner, Boone;CLB;Center;2.900;2.900;2.900;2.900;RFA;;
Klein, Kevin;NYR;Defence;2.900;2.900;2.750;2.750;UFA;;
Hainsey, Ron;CAR;Defence;2.833;0.000;2.500;UFA;;;
Alzner, Karl;WAS;Defence;2.800;0.000;2.800;UFA;;;
Galchenyuk, Alex;MTL;Center;2.800;0.000;3.100;RFA;;;
Ceci, Cody;OTT;Defence;2.800;2.800;2.250;3.350;RFA;;
Desharnais, David;EDM;Center;2.800;0.000;3.500;UFA;;;
